sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-22304	21	5	22	7	18	25	0s 648ms	17s 55ms	ok
pr-22309	21	5	22	10	19	29	0s 653ms	16s 370ms	ok
pr-22310	21	5	25	3	1	4	0s 404ms	20s 409ms	ok
pr-22313	21	4	26	2	1	3	0s 370ms	21s 58ms	ok
pr-22315	21	5	21	1	1	2	0s 324ms	17s 278ms	ok
pr-22317	21	5	23	0	0	0	0s 297ms	19s 132ms	ok
pr-22322	21	5	24	0	0	0	0s 359ms	19s 307ms	ok
pr-22324	21	4	19	0	0	0	0s 293ms	14s 312ms	ok
pr-22326	21	6	20	0	0	0	0s 305ms	15s 236ms	ok
pr-22328	21	5	25	0	0	0	0s 295ms	20s 200ms	ok
