pr	inc_s	scr_s	body	callers	total	inc_seg	scr_seg	status
2356	57	59	1	0	1	28s	33s 334ms	ok
2355	54	64	2	0	2	26s	37s 3ms	ok
2353	54	67	2	2	4	26s	36s 593ms	ok
2341	53	58	3226	3847	7073	t	31s 121ms	ok
2337	54	49	3021	3494	6515	t	22s 255ms	ok
2336	60	65	788	846	1634	t	38s 935ms	ok
2335	52	58	3358	4036	7394	t	31s 838ms	ok
2334	51	63	3243	3881	7124	t	36s 74ms	ok
2333	51	49	3275	3922	7197	t	22s 741ms	ok
2332	50	56	3275	3922	7197	t	29s 720ms	ok
2331	59	53	1	2	3	32s	26s 133ms	ok
2330	58	55	1	1	2	32s	28s 789ms	ok
2317	50	52	2431	2840	5271	t	25s 403ms	ok
2306	51	57	1	1	2	25s	29s 354ms	ok
2303	61	53	2062	2392	4454	t	27s 940ms	ok
2302	52	51	0	0	0	25s	25s 202ms	ok
2301	51	60	0	0	0	25s	33s 648ms	ok
2300	51	48	0	0	0	25s	23s 146ms	ok
2299	53	64	0	0	0	26s	37s 790ms	ok
2297	50	51	0	0	0	25s	25s 254ms	ok
