sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-1867	4	1	4	0	0	0	0s 68ms	3s 58ms	ok
pr-1868	4	2	4	23	32	55	1s 86ms	3s 205ms	ok
pr-1869	4	2	3	23	32	55	0s 920ms	2s 790ms	ok
pr-1871	4	1	4	0	0	0	0s 54ms	2s 976ms	ok
pr-1872	4	1	4	0	0	0	0s 56ms	3s 221ms	ok
pr-1873	4	1	4	1	2	3	0s 152ms	3s 0ms	ok
pr-1874	4	1	4	3	3	6	0s 143ms	3s 57ms	ok
pr-1877	4	1	4	1	1	2	0s 89ms	3s 39ms	ok
pr-1879	4	1	4	0	0	0	0s 57ms	3s 18ms	ok
pr-1884	4	1	4	0	0	0	0s 56ms	3s 11ms	ok
pr-1886	4	1	4	0	0	0	0s 52ms	3s 197ms	ok
pr-1892	4	1	4	1	0	1	0s 58ms	2s 816ms	ok
