sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-31906	182	39	119	0	0	0	21s 821ms	1m 41s 247ms	ok
pr-31909	182	41	122	19	15	34	23s 127ms	1m 45s 791ms	ok
pr-31913	182	42	120	14	15	29	23s 789ms	1m 41s 449ms	ok
pr-31915	182	44	118	0	0	0	25s 442ms	1m 39s 213ms	ok
pr-31916	182	39	126	0	0	0	21s 535ms	1m 47s 47ms	ok
pr-31918	182	40	131	15	54	69	22s 811ms	1m 50s 327ms	ok
pr-31924	182	40	121	15	54	69	22s 546ms	1m 41s 757ms	ok
pr-31925	182	41	126	0	0	0	21s 681ms	1m 46s 875ms	ok
pr-31928	182	39	127	0	0	0	21s 456ms	1m 47s 217ms	ok
pr-31929	182	41	130	40	22	62	22s 759ms	1m 50s 949ms	ok
pr-31931	182	42	125	32	32	64	22s 844ms	1m 45s 835ms	ok
pr-31933	182	61	124	5883	2643	8526	?	1m 43s 371ms	ok
pr-31938	182	39	125	2	6	8	21s 860ms	1m 43s 794ms	ok
pr-31939	182	71	127	3064	1250	4314	52s 283ms	1m 46s 827ms	ok
pr-31940	182	47	127	2433	1277	3710	?	1m 47s 470ms	ok
pr-31943	182	48	123	2430	1277	3707	?	1m 43s 701ms	ok
pr-31945	182	50	123	2430	1277	3707	?	1m 42s 607ms	ok
pr-31954	182	49	122	2430	1277	3707	?	1m 42s 348ms	ok
pr-31957	182	70	123	5682	2636	8318	?	1m 43s 631ms	ok
